0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
010001,V,X,I,vmadc,010001,,,,010001,,,
010010,V,X,,vsbc,010010,V,,VXUNARY0,010010,V,,VFUNARY0
010011,V,X,,vmsbc,010011,,,,010011,V,,VFUNARY1
010100,V,X,,vror,010100,V,,VMUNARY0,010100,,,
010101,V,X,,vrol,010101,,,,010101,,,
01010x,,,I,vror,,,,,,,,
010110,,,,,010110,,,,010110,,,
010111,V,X,I,vmerge/vmv,010111,V,,vcompress,010111,,F,vfmerge/vfmv
011000,V,X,I,vmseq,011000,V,,vmandn,011000,V,F,vmfeq
011001,V,X,I,vmsne,011001,V,,vmand,011001,V,F,vmfle
011010,V,X,,vmsltu,011010,V,,vmor,011010,,,
011011,V,X,,vmslt,011011,V,,vmxor,011011,V,F,vmflt
011100,V,X,I,vmsleu,011100,V,,vmorn,011100,V,F,vmfne
011101,V,X,I,vmsle,011101,V,,vmnand,011101,,F,vmfgt
011110,,X,I,vmsgtu,011110,V,,vmnor,011110,,,
011111,,X,I,vmsgt,011111,V,,vmxnor,011111,,F,vmfge
