0,1,2
Base,Version,Status
RV32I,2.1,Ratified
RV32E,2.0,Ratified
RV64E,2.0,Ratified
RV64I,2.1,Ratified
Extension,Version,Status
Zifencei,2.0,Ratified
Zicsr,2.0,Ratified
Zicntr,2.0,Ratified
Zihintntl,1.0,Ratified
Zihintpause,2.0,Ratified
Zimop,1.0,Ratified
Zicond,1.0,Ratified
Zilsd,1.0,Ratified
M,2.0,Ratified
Zmmul,1.0,Ratified
A,2.1,Ratified
Zawrs,1.01,Ratified
Zacas,1.0,Ratified
Zabha,1.0,Ratified
RVWMO,2.0,Ratified
Ztso,1.0,Ratified
CMO,1.0,Ratified
F,2.2,Ratified
D,2.2,Ratified
Q,2.2,Ratified
Zfh,1.0,Ratified
