0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
000000,V,X,I,vadd,000000,V,,vredsum,000000,V,F,vfadd
000001,V,X,,vandn,000001,V,,vredand,000001,V,,vfredusum
000010,V,X,,vsub,000010,V,,vredor,000010,V,F,vfsub
000011,,X,I,vrsub,000011,V,,vredxor,000011,V,,vfredosum
000100,V,X,,vminu,000100,V,,vredminu,000100,V,F,vfmin
000101,V,X,,vmin,000101,V,,vredmin,000101,V,,vfredmin
000110,V,X,,vmaxu,000110,V,,vredmaxu,000110,V,F,vfmax
000111,V,X,,vmax,000111,V,,vredmax,000111,V,,vfredmax
001000,,,,,001000,V,X,vaaddu,001000,V,F,vfsgnj
001001,V,X,I,vand,001001,V,X,vaadd,001001,V,F,vfsgnjn
001010,V,X,I,vor,001010,V,X,vasubu,001010,V,F,vfsgnjx
001011,V,X,I,vxor,001011,V,X,vasub,001011,,,
001100,V,X,I,vrgather,001100,V,X,vclmul,001100,,,
001101,,,,,001101,V,X,vclmulh,001101,,,
001110,,X,I,vslideup,001110,,X,vslide1up,001110,,F,vfslide1up
001110,V,,,vrgatherei16,,,,,,,,
001111,,X,I,vslidedown,001111,,X,vslide1down,001111,,F,vfslide1down
