0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,,fun,ct6,,funct6,,,
100000,,,,,100000,V,,vsm3me,100000,,,
100001,,,,,100001,V,,vsm4k.vi,100001,,,
100010,,,,,100010,V,,vaeskf1.vi,100010,,,
100011,,,,,100011,,,,100011,,,
100100,,,,,100100,,,,100100,,,
100101,,,,,100101,,,,100101,,,
100110,,,,,100110,,,,100110,,,
100111,,,,,100111,,,,100111,,,
,,,,,,,,,,,,
101000,,,,,101000,V,,VAES.vv,101000,,,
101001,,,,,101001,V,,VAES.vs,101001,,,
101010,,,,,101010,V,,vaeskf2.vi,101010,,,
101011,,,,,101011,V,,vsm3c.vi,101011,,,
101100,,,,,101100,V,,vghsh,101100,,,
101101,,,,,101101,V,,vsha2ms,101101,,,
101110,,,,,101110,V,,vsha2ch,101110,,,
101111,,,,,101111,V,,vsha2cl,101111,,,
