0,1,2,3,4
rs1,Value,Sign,Exponent,Significand
0,−1.0,1,01111111,000…000
1,Minimum positive normal,0,00000001,000…000
2,1.0 × 2−16,0,01101111,000…000
3,1.0 × 2−15,0,01110000,000…000
4,1.0 × 2−8,0,01110111,000…000
5,1.0 × 2−7,0,01111000,000…000
6,0.0625 (2−4),0,01111011,000…000
7,0.125 (2−3),0,01111100,000…000
8,0.25,0,01111101,000…000
9,0.3125,0,01111101,010…000
10,0.375,0,01111101,100…000
11,0.4375,0,01111101,110…000
12,0.5,0,01111110,000…000
13,0.625,0,01111110,010…000
14,0.75,0,01111110,100…000
15,0.875,0,01111110,110…000
16,1.0,0,01111111,000…000
17,1.25,0,01111111,010…000
18,1.5,0,01111111,100…000
19,1.75,0,01111111,110…000
20,2.0,0,10000000,000…000
21,2.5,0,10000000,010…000
22,3,0,10000000,100…000
23,4,0,10000001,000…000
24,8,0,10000010,000…000
