0,1,2,3,4,5,6,7
,,,RV32Z,fh Standar,d Extension,,
,imm[11:0],,rs1,001,rd,0000111,FLH
imm[1,1:5],rs2,rs1,001,imm[4:0],0100111,FSH
rs3,10,rs2,rs1,rm,rd,1000011,FMADD.H
rs3,10,rs2,rs1,rm,rd,1000111,FMSUB.H
rs3,10,rs2,rs1,rm,rd,1001011,FNMSUB.H
rs3,10,rs2,rs1,rm,rd,1001111,FNMADD.H
0000,010,rs2,rs1,rm,rd,1010011,FADD.H
0000,110,rs2,rs1,rm,rd,1010011,FSUB.H
0001,010,rs2,rs1,rm,rd,1010011,FMUL.H
0001,110,rs2,rs1,rm,rd,1010011,FDIV.H
0101,110,00000,rs1,rm,rd,1010011,FSQRT.H
0010,010,rs2,rs1,000,rd,1010011,FSGNJ.H
0010,010,rs2,rs1,001,rd,1010011,FSGNJN.H
0010,010,rs2,rs1,010,rd,1010011,FSGNJX.H
0010,110,rs2,rs1,000,rd,1010011,FMIN.H
0010,110,rs2,rs1,001,rd,1010011,FMAX.H
0100,000,00010,rs1,rm,rd,1010011,FCVT.S.H
0100,010,00000,rs1,rm,rd,1010011,FCVT.H.S
0100,001,00010,rs1,rm,rd,1010011,FCVT.D.H
0100,010,00001,rs1,rm,rd,1010011,FCVT.H.D
0100,011,00010,rs1,rm,rd,1010011,FCVT.Q.H
0100,010,00011,rs1,rm,rd,1010011,FCVT.H.Q
1010,010,rs2,rs1,010,rd,1010011,FEQ.H
1010,010,rs2,rs1,001,rd,1010011,FLT.H
1010,010,rs2,rs1,000,rd,1010011,FLE.H
1110,010,00000,rs1,001,rd,1010011,FCLASS.H
1100,010,00000,rs1,rm,rd,1010011,FCVT.W.H
1100,010,00001,rs1,rm,rd,1010011,FCVT.WU.H
1110,010,00000,rs1,000,rd,1010011,FMV.X.H
1101,010,00000,rs1,rm,rd,1010011,FCVT.H.W
1101,010,00001,rs1,rm,rd,1010011,FCVT.H.WU
1111,010,00000,rs1,000,rd,1010011,FMV.H.X
