0,1,2,3
Input (x),Rounding Mode,Output (y ≈ 1/x),Exceptions raised
"-2-B+1 < x ≤ -2-B (subnormal, sig=1…)",any,-2B-1 ≥ y > -2B (normal),
"-2-B < x ≤ -2-(B+1) (subnormal, sig=01…)",any,-2B ≥ y > -2B+1 (normal),
"-2-(B+1) < x < -0.0 (subnormal, sig=00…)","RUP, RTZ",greatest-mag. negative finite value,"NX, OF"
"-2-(B+1) < x < -0.0 (subnormal, sig=00…)","RDN, RNE, RMM",-∞,"NX, OF"
-0.0,any,-∞,DZ
+0.0,any,+∞,DZ
"+0.0 < x < 2-(B+1) (subnormal, sig=00…)","RUP, RNE, RMM",+∞,"NX, OF"
"+0.0 < x < 2-(B+1) (subnormal, sig=00…)","RDN, RTZ",greatest finite value,"NX, OF"
"2-(B+1) ≤ x < 2-B (subnormal, sig=01…)",any,2B+1 > y ≥ 2B (normal),
"2-B ≤ x < 2-B+1 (subnormal, sig=1…)",any,2B > y ≥ 2B-1 (normal),
2-B+1 ≤ x < 2B-1 (normal),any,2B-1 > y ≥ 2-B+1 (normal),
2B-1 ≤ x < 2B (normal),any,"2-B+1 > y ≥ 2-B (subnormal, sig=1…)",
2B ≤ x < 2B+1 (normal),any,"2-B > y ≥ 2-(B+1) (subnormal, sig=01…)",
+∞,any,+0.0,
qNaN,any,canonical NaN,
sNaN,any,canonical NaN,NV
