0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
100000,V,X,I,vsaddu,100000,V,X,vdivu,100000,V,F,vfdiv
100001,V,X,I,vsadd,100001,V,X,vdiv,100001,,F,vfrdiv
100010,V,X,,vssubu,100010,V,X,vremu,100010,,,
100011,V,X,,vssub,100011,V,X,vrem,100011,,,
100100,,,,,100100,V,X,vmulhu,100100,V,F,vfmul
100101,V,X,I,vsll,100101,V,X,vmul,100101,,,
100110,,,,,100110,V,X,vmulhsu,100110,,,
100111,V,X,,vsmul,100111,V,X,vmulh,100111,,F,vfrsub
,,,I,vmv<nr>r,,,,,,,,
101000,V,X,I,vsrl,101000,,,,101000,V,F,vfmadd
101001,V,X,I,vsra,101001,V,X,vmadd,101001,V,F,vfnmadd
101010,V,X,I,vssrl,101010,,,,101010,V,F,vfmsub
101011,V,X,I,vssra,101011,V,X,vnmsub,101011,V,F,vfnmsub
101100,V,X,I,vnsrl,101100,,,,101100,V,F,vfmacc
101101,V,X,I,vnsra,101101,V,X,vmacc,101101,V,F,vfnmacc
101110,V,X,I,vnclipu,101110,,,,101110,V,F,vfmsac
101111,V,X,I,vnclip,101111,V,X,vnmsac,101111,V,F,vfnmsac
