0,1,2,3,4
,Source Registers,Destination Registers,Accumulating CSRs,
FLW†,rs1 A,rd,,
FSW,"rs1 A, rs2D",,,
FMADD.S,"rs1, rs2, rs3, frm*",rd,"NV, OF, UF, NX",*if rm=111
FMSUB.S,"rs1, rs2, rs3, frm*",rd,"NV, OF, UF, NX",*if rm=111
FNMSUB.S,"rs1, rs2, rs3, frm*",rd,"NV, OF, UF, NX",*if rm=111
FNMADD.S,"rs1, rs2, rs3, frm*",rd,"NV, OF, UF, NX",*if rm=111
FADD.S,"rs1, rs2, frm*",rd,"NV, OF, NX",*if rm=111
FSUB.S,"rs1, rs2, frm*",rd,"NV, OF, NX",*if rm=111
FMUL.S,"rs1, rs2, frm*",rd,"NV, OF, UF, NX",*if rm=111
FDIV.S,"rs1, rs2, frm*",rd,"NV, DZ, OF, UF, NX",*if rm=111
FSQRT.S,"rs1, frm*",rd,"NV, NX",*if rm=111
FSGNJ.S,"rs1, rs2",rd,,
FSGNJN.S,"rs1, rs2",rd,,
FSGNJX.S,"rs1, rs2",rd,,
FMIN.S,"rs1, rs2",rd,NV,
FMAX.S,"rs1, rs2",rd,NV,
FCVT.W.S,"rs1, frm*",rd,"NV, NX",*if rm=111
FCVT.WU.S,"rs1, frm*",rd,"NV, NX",*if rm=111
FMV.X.W,rs1,rd,,
FEQ.S,"rs1, rs2",rd,NV,
FLT.S,"rs1, rs2",rd,NV,
FLE.S,"rs1, rs2",rd,NV,
FCLASS.S,rs1,rd,,
FCVT.S.W,"rs1, frm*",rd,NX,*if rm=111
FCVT.S.WU,"rs1, frm*",rd,NX,*if rm=111
FMV.W.X,rs1,rd,,
