0,1,2
RV32,RV64,Mnemonic
✓,✓,"lui rd, imm"
✓,✓,"auipc rd, imm"
✓,✓,"addi rd, rs1, imm"
✓,✓,"slti rd, rs1, imm"
✓,✓,"sltiu rd, rs1, imm"
✓,✓,"xori rd, rs1, imm"
✓,✓,"ori rd, rs1, imm"
✓,✓,"andi rd, rs1, imm"
✓,✓,"slli rd, rs1, imm"
✓,✓,"srli rd, rs1, imm"
✓,✓,"srai rd, rs1, imm"
✓,✓,"add rd, rs1, rs2"
✓,✓,"sub rd, rs1, rs2"
✓,✓,"sll rd, rs1, rs2"
✓,✓,"slt rd, rs1, rs2"
✓,✓,"sltu rd, rs1, rs2"
✓,✓,"xor rd, rs1, rs2"
✓,✓,"srl rd, rs1, rs2"
✓,✓,"sra rd, rs1, rs2"
✓,✓,"or rd, rs1, rs2"
✓,✓,"and rd, rs1, rs2"
,✓,"addiw rd, rs1, imm"
,✓,"slliw rd, rs1, imm"
,✓,"srliw rd, rs1, imm"
,✓,"sraiw rd, rs1, imm"
,✓,"addw rd, rs1, rs2"
,✓,"subw rd, rs1, rs2"
,✓,"sllw rd, rs1, rs2"
,✓,"srlw rd, rs1, rs2"
