0,1,2
Base,Version,Status
Zfhmin,1.0,Ratified
Zfa,1.0,Ratified
Zfinx,1.0,Ratified
Zdinx,1.0,Ratified
Zhinx,1.0,Ratified
Zhinxmin,1.0,Ratified
C,2.0,Ratified
Zce,1.0,Ratified
Zclsd,1.0,Ratified
B,1.0,Ratified
V,1.0,Ratified
Zbkb,1.0,Ratified
Zbkc,1.0,Ratified
Zbkx,1.0,Ratified
Zk,1.0,Ratified
Zks,1.0,Ratified
Zvbb,1.0,Ratified
Zvbc,1.0,Ratified
Zvkg,1.0,Ratified
Zvkned,1.0,Ratified
Zvknhb,1.0,Ratified
Zvksed,1.0,Ratified
Zvksh,1.0,Ratified
Zvkt,1.0,Ratified
Zicfiss,1.0,Ratified
Zicfilp,1.0,Ratified
